ID:3606 Start:5,27 Finish:1,28 Time:85 Money:5 Punishment:5
ID:1016 Start:3,27 Finish:9,4 Time:190 Money:16 Punishment:16
ID:190 Start:3,25 Finish:19,25 Time:347 Money:10 Punishment:10
ID:8377 Start:14,13 Finish:12,1 Time:445 Money:3 Punishment:3
ID:667 Start:6,15 Finish:3,15 Time:596 Money:1 Punishment:1
ID:3989 Start:3,19 Finish:11,24 Time:738 Money:9 Punishment:9
ID:5151 Start:25,12 Finish:7,3 Time:877 Money:24 Punishment:24
ID:2860 Start:26,16 Finish:12,29 Time:1034 Money:8 Punishment:8
ID:1623 Start:26,12 Finish:8,5 Time:1139 Money:25 Punishment:25
ID:2361 Start:4,28 Finish:15,24 Time:1312 Money:13 Punishment:13
ID:4115 Start:21,19 Finish:30,28 Time:1460 Money:5 Punishment:5
ID:0 Start:16,5 Finish:18,3 Time:1588 Money:2 Punishment:2
ID:8493 Start:24,2 Finish:11,23 Time:1724 Money:27 Punishment:27
ID:2541 Start:23,28 Finish:24,20 Time:1908 Money:2 Punishment:2
ID:7136 Start:20,1 Finish:16,15 Time:2007 Money:11 Punishment:11
ID:3176 Start:24,2 Finish:9,18 Time:2129 Money:31 Punishment:31
ID:2278 Start:21,19 Finish:21,7 Time:2292 Money:6 Punishment:6
ID:6544 Start:23,10 Finish:8,10 Time:2392 Money:3 Punishment:3
ID:771 Start:18,26 Finish:14,22 Time:2493 Money:2 Punishment:2
ID:6022 Start:4,26 Finish:28,28 Time:120 Money:24 Punishment:24
ID:5081 Start:4,24 Finish:27,25 Time:226 Money:6 Punishment:6
ID:7342 Start:18,30 Finish:7,28 Time:334 Money:8 Punishment:8
ID:3558 Start:19,8 Finish:18,30 Time:494 Money:11 Punishment:11
ID:4126 Start:2,28 Finish:7,10 Time:655 Money:17 Punishment:17
ID:1835 Start:19,26 Finish:22,28 Time:785 Money:3 Punishment:3
ID:6239 Start:20,2 Finish:18,7 Time:885 Money:6 Punishment:6
ID:1068 Start:19,25 Finish:8,15 Time:989 Money:6 Punishment:6
ID:2493 Start:13,10 Finish:11,23 Time:1100 Money:13 Punishment:13
ID:7360 Start:11,2 Finish:1,11 Time:1230 Money:6 Punishment:6
ID:3665 Start:28,9 Finish:23,16 Time:1359 Money:8 Punishment:8
ID:8907 Start:6,10 Finish:30,11 Time:1473 Money:15 Punishment:15
ID:5937 Start:6,30 Finish:15,8 Time:1604 Money:11 Punishment:11
ID:2069 Start:25,8 Finish:4,11 Time:1721 Money:24 Punishment:24
ID:1251 Start:18,13 Finish:13,8 Time:1867 Money:6 Punishment:6
ID:4055 Start:6,1 Finish:29,22 Time:1960 Money:35 Punishment:35
ID:5258 Start:10,11 Finish:22,17 Time:2152 Money:7 Punishment:7
ID:2799 Start:11,16 Finish:13,9 Time:2280 Money:7 Punishment:7
ID:749 Start:3,22 Finish:17,29 Time:2432 Money:18 Punishment:18
